   0  ( q     ,  w     ,  x     ,  y     ,  z     ,  t     ) ; 
   1  ( q     ,  w     ,  x     ,  y     ,  wxyz  ,  wxyt  ) ; 
   2  ( q     ,  w     ,  x     ,  z     ,  wxyz  ,  wxzt  ) ; 
   3  ( q     ,  w     ,  y     ,  z     ,  x     ,  t     ) ; 
   4  ( q     ,  w     ,  y     ,  z     ,  wxyz  ,  wyzt  ) ; 
   5  ( q     ,  w     ,  y     ,  wxyz  ,  x     ,  wxyt  ) ; 
   6  ( q     ,  w     ,  z     ,  x     ,  y     ,  t     ) ; 
   7  ( q     ,  w     ,  z     ,  wxyz  ,  x     ,  wxzt  ) ; 
   8  ( q     ,  w     ,  z     ,  wxyz  ,  y     ,  wyzt  ) ; 
   9  ( q     ,  w     ,  wt    ,  xyt   ,  xzt   ,  wx    ) ; 
  10  ( q     ,  w     ,  wt    ,  xyt   ,  yzt   ,  wy    ) ; 
  11  ( q     ,  w     ,  wt    ,  xzt   ,  yzt   ,  wz    ) ; 
  12  ( q     ,  w     ,  xyt   ,  xzt   ,  wt    ,  wx    ) ; 
  13  ( q     ,  w     ,  xyt   ,  xzt   ,  yzt   ,  xyz   ) ; 
  14  ( q     ,  w     ,  xyt   ,  yzt   ,  wt    ,  wy    ) ; 
  15  ( q     ,  w     ,  xzt   ,  wt    ,  xyt   ,  wx    ) ; 
  16  ( q     ,  w     ,  xzt   ,  yzt   ,  wt    ,  wz    ) ; 
  17  ( q     ,  w     ,  xzt   ,  yzt   ,  xyt   ,  xyz   ) ; 
  18  ( q     ,  w     ,  yzt   ,  wt    ,  xyt   ,  wy    ) ; 
  19  ( q     ,  w     ,  yzt   ,  wt    ,  xzt   ,  wz    ) ; 
  20  ( q     ,  w     ,  yzt   ,  xyt   ,  xzt   ,  xyz   ) ; 
  21  ( q     ,  w     ,  wxyz  ,  x     ,  y     ,  wxyt  ) ; 
  22  ( q     ,  w     ,  wxyz  ,  x     ,  z     ,  wxzt  ) ; 
  23  ( q     ,  w     ,  wxyz  ,  y     ,  z     ,  wyzt  ) ; 
  24  ( q     ,  x     ,  w     ,  z     ,  y     ,  t     ) ; 
  25  ( q     ,  x     ,  w     ,  wxyz  ,  y     ,  wxyt  ) ; 
  26  ( q     ,  x     ,  w     ,  wxyz  ,  z     ,  wxzt  ) ; 
  27  ( q     ,  x     ,  y     ,  w     ,  z     ,  t     ) ; 
  28  ( q     ,  x     ,  y     ,  w     ,  wxyz  ,  wxyt  ) ; 
  29  ( q     ,  x     ,  y     ,  z     ,  wxyz  ,  xyzt  ) ; 
  30  ( q     ,  x     ,  z     ,  w     ,  wxyz  ,  wxzt  ) ; 
  31  ( q     ,  x     ,  z     ,  y     ,  w     ,  t     ) ; 
  32  ( q     ,  x     ,  z     ,  wxyz  ,  y     ,  xyzt  ) ; 
  33  ( q     ,  x     ,  xt    ,  wyt   ,  wzt   ,  wx    ) ; 
  34  ( q     ,  x     ,  xt    ,  yzt   ,  wyt   ,  xy    ) ; 
  35  ( q     ,  x     ,  xt    ,  yzt   ,  wzt   ,  xz    ) ; 
  36  ( q     ,  x     ,  wyt   ,  xt    ,  yzt   ,  xy    ) ; 
  37  ( q     ,  x     ,  wyt   ,  wzt   ,  xt    ,  wx    ) ; 
  38  ( q     ,  x     ,  wyt   ,  yzt   ,  wzt   ,  wyz   ) ; 
  39  ( q     ,  x     ,  wzt   ,  xt    ,  wyt   ,  wx    ) ; 
  40  ( q     ,  x     ,  wzt   ,  xt    ,  yzt   ,  xz    ) ; 
  41  ( q     ,  x     ,  wzt   ,  wyt   ,  yzt   ,  wyz   ) ; 
  42  ( q     ,  x     ,  yzt   ,  wyt   ,  xt    ,  xy    ) ; 
  43  ( q     ,  x     ,  yzt   ,  wzt   ,  xt    ,  xz    ) ; 
  44  ( q     ,  x     ,  yzt   ,  wzt   ,  wyt   ,  wyz   ) ; 
  45  ( q     ,  x     ,  wxyz  ,  y     ,  w     ,  wxyt  ) ; 
  46  ( q     ,  x     ,  wxyz  ,  y     ,  z     ,  xyzt  ) ; 
  47  ( q     ,  x     ,  wxyz  ,  z     ,  w     ,  wxzt  ) ; 
  48  ( q     ,  y     ,  w     ,  x     ,  z     ,  t     ) ; 
  49  ( q     ,  y     ,  w     ,  x     ,  wxyz  ,  wxyt  ) ; 
